link_text,href,link_type,section_title
Beautiful Soup,http://www.crummy.com/software/BeautifulSoup/,documentation_link,Beautiful Soup Documentation
Beautiful Soup 3,http://www.crummy.com/software/BeautifulSoup/bs3/documentation.html,documentation_link,Beautiful Soup Documentation
Porting code to BS4,#porting-code-to-bs4,internal_anchor,Beautiful Soup Documentation
这篇文档当然还有中文版.,https://www.crummy.com/software/BeautifulSoup/bs4/doc.zh/,documentation_link,Beautiful Soup Documentation
外部リンク,http://kondou.com/BS4/,external_link,Beautiful Soup Documentation
이 문서는 한국어 번역도 가능합니다.,https://www.crummy.com/software/BeautifulSoup/bs4/doc.ko/,documentation_link,Beautiful Soup Documentation
Este documento também está disponível em Português do Brasil.,https://www.crummy.com/software/BeautifulSoup/bs4/doc.ptbr,documentation_link,Beautiful Soup Documentation
Este documento también está disponible en una traducción al español.,https://www.crummy.com/software/BeautifulSoup/bs4/doc.es/,documentation_link,Beautiful Soup Documentation
Эта документация доступна на русском языке.,https://www.crummy.com/software/BeautifulSoup/bs4/doc.ru/,documentation_link,Beautiful Soup Documentation
send mail to the discussion group,https://groups.google.com/forum/?fromgroups#!forum/beautifulsoup,external_link,Getting help
what the diagnose() function says,#diagnose,internal_anchor,Getting help
traditional API documentation,api/modules.html,external_link,API documentation
Beautiful Soup 3,http://www.crummy.com/software/BeautifulSoup/bs3/documentation.html,documentation_link,Installing Beautiful Soup
download the Beautiful Soup 4 source tarball,http://www.crummy.com/software/BeautifulSoup/download/4.x/,documentation_link,Installing Beautiful Soup
lxml parser,http://lxml.de/,external_link,Installing a parser
html5lib parser,http://code.google.com/p/html5lib/,external_link,Installing a parser
"Differences
between parsers",#differences-between-parsers,internal_anchor,Installing a parser
Parsing XML,#id15,internal_anchor,Making the soup
Tag,#Tag,internal_anchor,Kinds of objects
NavigableString,#NavigableString,internal_anchor,Kinds of objects
Comment,#Comment,internal_anchor,Kinds of objects
Tag,#Tag,internal_anchor,Kinds of objects
Navigating the tree,#navigating-the-tree,internal_anchor,Kinds of objects
Searching the tree,#searching-the-tree,internal_anchor,Kinds of objects
NavigableString,#NavigableString,internal_anchor,Multi-valued attributes
NavigableString,#NavigableString,internal_anchor,Multi-valued attributes
"Navigating
the tree",#navigating-the-tree,internal_anchor,Multi-valued attributes
Searching the tree,#searching-the-tree,internal_anchor,Multi-valued attributes
NavigableString,#NavigableString,internal_anchor,Multi-valued attributes
replace_with(),#replace-with,internal_anchor,Multi-valued attributes
NavigableString,#NavigableString,internal_anchor,Multi-valued attributes
Navigating the tree,#navigating-the-tree,internal_anchor,Multi-valued attributes
Searching the tree,#searching-the-tree,internal_anchor,Multi-valued attributes
NavigableString,#NavigableString,internal_anchor,Multi-valued attributes
Tag,#Tag,internal_anchor,Multi-valued attributes
Navigating the tree,#navigating-the-tree,internal_anchor,Multi-valued attributes
Searching the tree,#searching-the-tree,internal_anchor,Multi-valued attributes
Modifying the tree,#modifying-the-tree,internal_anchor,Multi-valued attributes
Tag,#Tag,internal_anchor,Multi-valued attributes
Tag,#Tag,internal_anchor,Multi-valued attributes
Tag,#Tag,internal_anchor,Special strings
NavigableString,#NavigableString,internal_anchor,Special strings
Comment,#Comment,internal_anchor,Special strings
Comment,#Comment,internal_anchor,Special strings
NavigableString,#NavigableString,internal_anchor,Special strings
Comment,#Comment,internal_anchor,Special strings
NavigableString,#NavigableString,internal_anchor,For HTML documents
NavigableString,#NavigableString,internal_anchor,For HTML documents
NavigableString,#NavigableString,internal_anchor,For HTML documents
NavigableString,#NavigableString,internal_anchor,For HTML documents
NavigableString,#NavigableString,internal_anchor,For XML documents
Comment,#Comment,internal_anchor,For XML documents
NavigableString,#NavigableString,internal_anchor,For XML documents
NavigableString,#NavigableString,internal_anchor,For XML documents
declaration,https://www.w3.org/TR/REC-xml/#sec-prolog-dtd,external_link,For XML documents
NavigableString,#NavigableString,internal_anchor,For XML documents
"document type
declaration",https://www.w3.org/TR/REC-xml/#dt-doctype,external_link,For XML documents
NavigableString,#NavigableString,internal_anchor,For XML documents
CData section,https://www.w3.org/TR/REC-xml/#sec-cdata-sect,external_link,For XML documents
NavigableString,#NavigableString,internal_anchor,For XML documents
XML processing instruction,https://www.w3.org/TR/REC-xml/#sec-pi,external_link,For XML documents
Searching the tree,#searching-the-tree,internal_anchor,Navigating using tag names
Modifying the tree,#modifying-the-tree,internal_anchor,.contentsand.children
NavigableString,#NavigableString,internal_anchor,.string
The keyword arguments,#kwargs,internal_anchor,.next_siblingsand.previous_siblings
name,#name,internal_anchor,find_all()
attrs,#attrs,internal_anchor,find_all()
recursive,#recursive,internal_anchor,find_all()
string,#id11,internal_anchor,find_all()
limit,#limit,internal_anchor,find_all()
**kwargs,#kwargs,internal_anchor,find_all()
Kinds of filters,#kinds-of-filters,internal_anchor,find_all()
Kinds of filters,#kinds-of-filters,internal_anchor,Thenameargument
"a
string",#a-string,internal_anchor,Thenameargument
a regular expression,#a-regular-expression,internal_anchor,Thenameargument
a list,#a-list,internal_anchor,Thenameargument
a function,#a-function,internal_anchor,Thenameargument
"the value
True",#the-value-true,internal_anchor,Thenameargument
a string,#a-string,internal_anchor,The keyword arguments
a regular expression,#a-regular-expression,internal_anchor,The keyword arguments
a list,#a-list,internal_anchor,The keyword arguments
a function,#a-function,internal_anchor,The keyword arguments
the value True,#the-value-true,internal_anchor,The keyword arguments
Remember,#multivalue,internal_anchor,Searching by CSS class
described here,#css-selectors,internal_anchor,Searching by CSS class
a string,#a-string,internal_anchor,Thestringargument
"a
regular expression",#a-regular-expression,internal_anchor,Thestringargument
a function,#a-function,internal_anchor,Thestringargument
a list,#a-list,internal_anchor,Thestringargument
the value True,#the-value-true,internal_anchor,Thestringargument
Tag,#Tag,internal_anchor,Calling a tag is like callingfind_all()
name,#name,internal_anchor,find()
attrs,#attrs,internal_anchor,find()
recursive,#recursive,internal_anchor,find()
string,#id11,internal_anchor,find()
**kwargs,#kwargs,internal_anchor,find()
"Navigating using tag
names",#navigating-using-tag-names,internal_anchor,find()
name,#name,internal_anchor,find_parents()andfind_parent()
attrs,#attrs,internal_anchor,find_parents()andfind_parent()
string,#id11,internal_anchor,find_parents()andfind_parent()
limit,#limit,internal_anchor,find_parents()andfind_parent()
**kwargs,#kwargs,internal_anchor,find_parents()andfind_parent()
name,#name,internal_anchor,find_parents()andfind_parent()
attrs,#attrs,internal_anchor,find_parents()andfind_parent()
string,#id11,internal_anchor,find_parents()andfind_parent()
**kwargs,#kwargs,internal_anchor,find_parents()andfind_parent()
.parent,#parent,internal_anchor,find_parents()andfind_parent()
.parents,#parents,internal_anchor,find_parents()andfind_parent()
name,#name,internal_anchor,find_next_siblings()andfind_next_sibling()
attrs,#attrs,internal_anchor,find_next_siblings()andfind_next_sibling()
